country,calorie_weighted_total_change_pct,calorie_weighted_climate_only_change_pct,calorie_weighted_irrigation_loss_pct,wheat_total_change_pct,wheat_climate_only_pct,wheat_irrigation_loss_pct,wheat_baseline_production_mt,wheat_collapsed_production_mt,rice_total_change_pct,rice_climate_only_pct,rice_irrigation_loss_pct,rice_baseline_production_mt,rice_collapsed_production_mt,maize_total_change_pct,maize_climate_only_pct,maize_irrigation_loss_pct,maize_baseline_production_mt,maize_collapsed_production_mt
Albania,4.16,4.74,-0.58,6.16,6.17,-0.01,0.21,0.22,,,,,,3.05,3.95,-0.89,0.35,0.36
South Korea,4.36,6.32,-1.96,-8.61,-8.51,-0.1,0.03,0.03,3.65,5.8,-2.15,2.33,2.42,15.47,15.51,-0.04,0.15,0.18
New Zealand,4.47,4.47,-0.0,4.34,4.35,-0.0,0.25,0.26,,,,,,7.94,7.94,0.0,0.01,0.01
Bhutan,5.09,5.11,-0.01,28.36,28.38,-0.02,0.0,0.01,6.62,6.63,-0.01,0.22,0.24,-1.44,-1.42,-0.02,0.06,0.05
Guatemala,5.17,5.44,-0.26,18.91,18.91,0.0,0.0,0.0,-1.35,-1.35,0.0,0.07,0.07,5.25,5.52,-0.27,4.39,4.62
Tunisia,6.16,6.27,-0.11,6.16,6.27,-0.11,2.57,2.72,,,,,,,,,,
Libya,6.61,8.79,-2.18,6.72,8.91,-2.19,0.6,0.64,,,,,,-25.0,-25.0,0.0,0.0,0.0
Egypt,7.39,7.91,-0.52,10.72,11.55,-0.83,6.79,7.52,29.38,30.15,-0.77,0.98,1.27,2.48,2.72,-0.24,7.78,7.97
Morocco,7.75,8.84,-1.09,8.46,9.48,-1.02,8.76,9.51,2.47,6.28,-3.81,0.02,0.02,-36.38,-31.32,-5.06,0.13,0.08
Algeria,7.75,7.91,-0.15,7.75,7.91,-0.15,5.63,6.07,-17.69,-17.69,0.0,0.0,0.0,5.5,6.09,-0.59,0.0,0.0
Jordan,8.71,8.8,-0.09,9.17,9.26,-0.09,0.02,0.02,,,,,,-44.18,-44.18,0.0,0.0,0.0
Qatar,9.3,12.83,-3.53,-5.46,8.18,-13.64,0.0,0.0,,,,,,9.98,13.04,-3.06,0.0,0.0
Namibia,10.6,10.6,-0.0,4.47,4.47,0.0,0.0,0.0,,,,,,10.9,10.9,-0.0,0.06,0.07
Gambia,12.04,16.38,-4.34,,,,,,10.49,13.76,-3.27,0.06,0.06,13.53,18.9,-5.37,0.05,0.05
Israel,13.96,13.98,-0.02,17.97,17.99,-0.02,0.16,0.19,,,,,,-60.25,-60.25,0.0,0.01,0.0
Saudi Arabia,15.29,18.17,-2.87,15.59,18.55,-2.96,0.43,0.5,,,,,,6.83,7.28,-0.46,0.01,0.02
Montenegro,15.76,15.78,-0.01,-0.35,-0.35,0.0,0.0,0.0,,,,,,22.44,22.45,-0.02,0.01,0.01
Kosovo,19.85,19.85,0.0,-9.04,-9.04,0.0,0.0,0.0,,,,,,39.43,39.43,0.0,0.0,0.01
